0,92,68
1,89,67
2,86,68
3,85,66
4,88,67
5,85,67
6,86,68
7,85,69
8,84,69
9,84,67
10,85,66
11,84,63
12,84,67
13,84,66
14,85,68
15,84,66
16,84,65
17,86,64
18,87,65
19,88,66
20,87,65
21,88,65
22,89,66
23,91,64
24,92,64
25,93,63
26,92,66
27,93,63
28,94,61
29,94,62
30,94,62
31,93,60
32,94,59
33,94,60
34,94,60
35,94,61
36,95,61
37,95,61
38,94,61
39,92,61
40,93,64
41,92,64
42,92,65
43,89,66
44,86,64
45,83,66
46,78,66
47,77,70
48,74,70
49,72,72
50,70,73
51,67,73
52,65,75
53,64,75
54,61,75
55,61,76
56,61,74
57,59,74
58,58,76
59,58,77
60,60,76
61,60,76
62,61,78
63,61,79
64,61,79
65,62,77
66,63,77
67,65,78
68,64,74
69,67,77
70,67,75
71,65,73
72,66,74
73,66,69
74,65,69
75,66,68
76,68,68
77,69,63
78,70,62
79,69,61
80,72,62
81,74,60
82,73,57
83,76,57
84,81,59
85,87,59
86,92,61
87,93,60
88,98,59
89,99,60
90,103,59
91,106,59
92,108,61
93,112,59
94,111,59
95,113,58
96,113,59
97,112,60
98,111,60
99,110,62
100,108,63
101,107,64
102,103,63
103,99,64
104,97,63
105,94,62
106,90,64
107,87,65
108,83,62
109,81,63
110,80,63
111,80,60
112,79,59
113,77,59
114,75,57
115,75,55
116,75,58
117,75,59
118,77,58
119,77,60
120,76,58
121,75,56
122,74,57
123,74,57
124,73,59
125,75,60
126,74,60
127,74,58
128,74,60
129,74,58
130,75,61
131,75,58
132,73,58
133,74,60
134,73,59
135,73,58
136,74,57
137,74,57
138,75,55
139,77,57
140,78,57
141,79,54
142,77,56
143,80,56
144,80,58
145,80,57
146,81,59
147,81,58
148,82,58
149,81,57
150,81,55
151,83,54
152,82,54
153,80,53
154,82,54
155,82,54
156,82,55
157,82,55
158,82,53
159,82,54
160,81,55
161,81,58
162,83,60
163,82,58
164,82,58
165,84,59
166,84,60
167,83,60
168,83,60
169,84,60
170,84,60
171,82,61
172,81,62
173,82,64
174,84,65
175,87,64
176,87,65
177,87,66
178,86,67
179,86,65
180,86,65
181,85,65
182,87,65
183,87,66
184,89,68
185,92,69
186,92,67
187,93,70
188,93,70
189,91,73
190,96,73
191,98,75
192,99,77
193,100,77
194,102,77
195,104,81
196,103,82
197,105,83
198,107,86
199,108,86
200,112,88
201,113,89
202,114,93
203,116,93
204,117,93
205,118,92
206,117,91
207,119,87
208,119,83
209,120,82
210,119,80
211,116,74
212,110,73
213,105,69
214,100,68
215,93,64
216,89,62
217,84,62
218,78,63
219,74,64
220,70,62
221,68,63
222,65,63
223,61,64
224,60,65
225,59,65
226,59,65
227,58,65
228,57,65
229,60,65
230,62,66
231,65,68
232,69,67
233,71,69
234,75,72
235,78,74
236,80,74
237,82,73
238,84,74
239,87,74
240,90,74
241,92,72
242,92,74
243,94,74
244,93,75
245,91,76
246,92,75
247,92,75
248,93,73
249,91,74
250,91,72
251,90,72
252,87,69
253,86,68
254,84,69
255,84,69
256,82,67
